statement_id	page	record	owner_noun_de	surface_sequence	component_sequence	literal_de	fluent_reading_de	cards	semantic_atoms	closed_cell	shared_herbal_cards
B1-S001	f81v	B1	das gemeinsame zweireihige Becken	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	1	3	YES	0
B1-S002	f81v	B1	das gemeinsame zweireihige Becken	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	ANSETZEN · SOLLMASS | ZUGEBEN · WASSER | ANSETZEN · ZIELSTELLE | QUELLE | WEITER | ZUGEBEN · PORTION | WEITER · ZUGEBEN · PORTION | ZIELSTELLE | WEITER | KUEHLEN · WEITER | LEITEN | WEITER · ANSATZ | WEITER | HALTEN · KURZ · DURCHLASS · ZIELSTELLE | SOLLMASS | ANSETZEN · LANG · ZIELSTELLE | SOLLMASS | DURCHLASS · POSTEN | UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	19	34	YES	10
B1-S003	f81v	B1	das gemeinsame zweireihige Becken	qol sshkchdy	OL | SH+K+CHD+DY	WEITER | HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	2	5	YES	1
B1-S004	f81v	B1	das gemeinsame zweireihige Becken	chedy ol shedy	CHD+Y | OL | SHED+DY	UMSETZEN · POSTEN | WEITER | STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	3	5	YES	2
B1-S005	f81v	B1	das gemeinsame zweireihige Becken	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	1	3	YES	0
B1-S006	f81v	B1	das gemeinsame zweireihige Becken	qokain shckhy dl ral	OK+AIN | CKH+Y | L | R+AL	ANSETZEN · PORTION | DURCHLASS · POSTEN | LEITEN | KUEHLEN · ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	4	7	NO	0
B1-S007	f81v	B1	das gemeinsame zweireihige Becken	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	1	3	YES	0
B1-S008	f81v	B1	das gemeinsame zweireihige Becken	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+DY	POSTEN | WEITER | WAERMEN · KURZ · POSTEN | WEITER | STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.	5	8	YES	3
B1-S009	f81v	B1	das gemeinsame zweireihige Becken	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	1	3	YES	0
B1-S010	f81v	B1	das gemeinsame zweireihige Becken	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	1	3	YES	0
B1-S011	f81v	B1	das gemeinsame zweireihige Becken	chckhy qoky	CKH+Y | OK+Y	DURCHLASS · POSTEN | ANSETZEN · POSTEN	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	2	4	NO	1
B1-S012	f81v	B1	das gemeinsame zweireihige Becken	lsho qokey lshedy	LSH+O | OK+E+Y | LSH+E+DY	SPUELEN · ARBEITSGANG | ANSETZEN · KURZ · POSTEN | SPUELEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Im Arbeitsgang spuelen, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen.	3	8	YES	0
B1-S013	f81v	B1	das gemeinsame zweireihige Becken	lshedy	LSH+E+DY	SPUELEN · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz spuelen und den Schritt schliessen.	1	3	YES	0
B1-S014	f81v	B1	das gemeinsame zweireihige Becken	chedy qolky lchedal qol otar	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	UMSETZEN · POSTEN | SAMMELN · POSTEN | LEITEN · UMSETZEN · ZIELSTELLE | WEITER | DANACH · QUELLE	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und sammeln; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	5	10	NO	2
B1-S015	f81v	B1	das gemeinsame zweireihige Becken	ytey okchedy	T+E+Y | OK+CHD+DY	BEARBEITEN · KURZ · POSTEN | ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten kurz bearbeiten; dann ansetzen und umsetzen; den Schritt schliessen.	2	6	YES	0
B1-S016	f81v	B1	das gemeinsame zweireihige Becken	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+DY	ANSETZEN · ZIELSTELLE | ANSETZEN · LANG · POSTEN | WEITER | STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	4	8	YES	2
B1-S017	f81v	B1	das gemeinsame zweireihige Becken	sal teol dchdy	AL | E+OL | CHD+DY	ZIELSTELLE | KURZ · WEITER | UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	3	5	YES	1
B1-S018	f81v	B1	das gemeinsame zweireihige Becken	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	LEITEN · POSTEN | HALTEN · KURZ · WEITER | ARBEITSGANG · STUFE | SAMMELN · LANG · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger sammeln; den Schritt schliessen.	4	10	YES	0
B1-S019	f81v	B1	das gemeinsame zweireihige Becken	tedy	SHED+DY	STEHENLASSEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Stehen lassen; den Schritt schliessen.	1	2	YES	0
B1-S020	f81v	B1	das gemeinsame zweireihige Becken	cheky shckhedy	CHK+E+Y | SH+CKH+E+DY	WAERMEN · KURZ · POSTEN | HALTEN · DURCHLASS · KURZ · SCHLUSS	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	2	7	YES	0
B1-S021	f81v	B1	das gemeinsame zweireihige Becken	chal	AL	ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	1	1	NO	1
B2-S001	f82r	B2	die oberen Paarbecken mit Zylinder	dchedy	CHD+DY	UMSETZEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	1	2	YES	0
B2-S002	f82r	B2	die oberen Paarbecken mit Zylinder	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	1	3	YES	0
B2-S003	f82r	B2	die oberen Paarbecken mit Zylinder	qokain dy qokeedy	OK+AIN | Y | OK+EE+DY	ANSETZEN · PORTION | POSTEN | ANSETZEN · LANG · SCHLUSS	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	3	6	YES	1
B2-S004	f82r	B2	die oberen Paarbecken mit Zylinder	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	ANSETZEN · ZIELSTELLE | LEITEN · DURCHLASS · POSTEN | LEITEN · UMSETZEN | ANSETZEN · LANG · POSTEN | LEITEN · DURCHLASS · KURZ · SCHLUSS	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	5	14	YES	1
B2-S005	f82r	B2	die oberen Paarbecken mit Zylinder	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	ANSETZEN · ZIELSTELLE · POSTEN | SAMMELN · SOLLMASS | DURCHLASS · POSTEN | ANSETZEN · SOLLMASS | ANSETZEN · SOLLMASS | ARBEITSGANG · BEREITEN · KURZ · WEITER | WAERMEN · LANG · POSTEN | LEITEN · SCHLUSS	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	8	20	YES	2
B2-S006	f82r	B2	die oberen Paarbecken mit Zylinder	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	DANACH · LANG · POSTEN | ANSETZEN · ZIELSTELLE | HALTEN · KURZ · DURCHLASS · POSTEN | ANSETZEN · POSTEN	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	4	11	NO	2
B2-S007	f82r	B2	die linke Mittelstation mit Zwischenknoten	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	1	3	YES	0
B2-S008	f82r	B2	die linke Mittelstation mit Zwischenknoten	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+DY	DANACH · SOLLMASS | ANSETZEN · QUELLE | STEHENLASSEN · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.	3	6	YES	0
B2-S009	f82r	B2	die linke Mittelstation mit Zwischenknoten	solshedy	OL+SH+E+DY	WEITER · HALTEN · KURZ · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	1	4	YES	0
B2-S010	f82r	B2	die linke Mittelstation mit Zwischenknoten	qokeey qoky ls cheey	OK+EE+Y | OK+Y | OL | SH+EE+Y	ANSETZEN · LANG · POSTEN | ANSETZEN · POSTEN | WEITER | HALTEN · LANG · POSTEN	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	4	9	NO	2
B2-S011	f82r	B2	die rechte unklare Mittelstation	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+DY	ANSETZEN · PORTION | QUELLE | ANSETZEN · PORTION | ANSETZEN · LANG · SCHLUSS	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	4	8	YES	1
B2-S012	f82r	B2	die rechte unklare Mittelstation und das untere gruene Figurenbecken	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	LEITEN · ENTNEHMEN · POSTEN | HALTEN · LANG · POSTEN | BEREITEN · KURZ · POSTEN | ANSETZEN · LANG · POSTEN | LEITEN · LANG · POSTEN | SOLLMASS | POSTEN | ANSETZEN · VOLL · SCHLUSS	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	8	20	YES	3
B2-S013	f82r	B2	das untere gruene Figurenbecken	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	1	3	YES	0
B2-S014	f82r	B2	das untere gruene Figurenbecken	lar	L+AR	LEITEN · QUELLE	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	1	2	NO	0
B2-S015	f82r	B2	die Randstationen des unteren Beckens	tshey qokeedy	SH+E+Y | OK+EE+DY	HALTEN · KURZ · POSTEN | ANSETZEN · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	2	6	YES	0
B2-S016	f82r	B2	die Randstationen des unteren Beckens	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	ZIELSTELLE | LEITEN · UMSETZEN · QUELLE | ENTNEHMEN · KURZ · PROBE | SOLLMASS | DANACH · LANG · POSTEN | ANSETZEN · SOLLMASS | ANSETZEN · KURZ · POSTEN | EINBRINGEN · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.	8	19	YES	3
B2-S017	f82r	B2	die Randstationen des unteren Beckens	rsheal daldy	R+SH+E+AL | AL+DY	KUEHLEN · HALTEN · KURZ · ZIELSTELLE | ZIELSTELLE · SCHLUSS	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	2	6	YES	0
B2-S018	f82r	B2	die Randstationen des unteren Beckens	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	1	3	YES	0
B2-S019	f82r	B2	die Randstationen des unteren Beckens	rshedy	R+SHED+DY	KUEHLEN · STEHENLASSEN · SCHLUSS	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.	1	3	YES	0
B2-S020	f82r	B2	die Randstationen des unteren Beckens	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	1	3	YES	0
B2-S021	f82r	B2	die Randstationen des unteren Beckens	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	1	3	YES	0
B2-S022	f82r	B2	die Randstationen des unteren Beckens	lochedy	L+O+CHD+DY	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	1	4	YES	0
B3-S001	f83r	B3	die obere offene Faecherstation	olkeedy	SOLK+EE+DY	SAMMELN · LANG · SCHLUSS	An der oberen offenen Faecherstation: Laenger sammeln und den Schritt schliessen.	1	3	YES	0
B3-S002	f83r	B3	die obere offene Faecherstation	qotal chkeedy	OT+AL | CHK+EE+DY	DANACH · ZIELSTELLE | WAERMEN · LANG · SCHLUSS	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	2	5	YES	0
B3-S003	f83r	B3	die obere offene Faecherstation	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+DY	POSTEN | SOLLMASS | POSTEN | LEITEN · UMSETZEN · SCHLUSS	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	4	6	YES	3
B3-S004	f83r	B3	die obere offene Faecherstation	qokaiin qotal dar	OK+AIIN | OT+AL | AR	ANSETZEN · SOLLMASS | DANACH · ZIELSTELLE | QUELLE	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	3	5	NO	2
B3-S005	f83r	B3	das runde Mittelgefaess	schedy	CHD+DY	UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.	1	2	YES	0
B3-S006	f83r	B3	das runde Mittelgefaess	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+DY	UMSETZEN · POSTEN | ANSETZEN · ZIELSTELLE | WEITER · UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	3	7	YES	1
